X008,Mulher,6ºA,"Matemática, Ciências","Português, Educação Física",Meu Sonho é Virar Professora De Ginástica,Muito capaz,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, A forma como os professores explicam a matéria, Seus amigos",Muitas vezes,"Nem muito, nem pouco",Não conheço/Nunca participei de nenhuma,Às vezes,Às vezes,Nunca,Às vezes,Sempre,Às vezes,Nunca,Nunca,Nunca,Às vezes,Nunca,Nunca,Às vezes,Sempre,Às vezes,Às vezes,Nunca,Às vezes,Sempre,Às vezes,7,3,3,Nada
X009,Mulher,6ºA,"Matemática, História","Português, Educação Física",ser rica,Pouco capaz,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como a direção ou coordenação te tratam, Seus amigos, Como os professores ouvem você e os outros alunos",Poucas vezes,Não fui vítima de bullying/agressões nos últimos 12 meses,Não conheço/Nunca participei de nenhuma,Nunca,Nunca,Nunca,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Sempre,Sempre,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,9,7,4,que e muito divertido
X010,Homem,6ºA,"História, Geografia","Português, Educação Física",SER JOGADO DE FUTEBOL,Normal,"Cuidar de familiares (avós, irmãos), Doença (gripe, virose, entre outros)","Seus amigos, Os jogos, esportes ou eventos da escola, Como os professores ouvem você e os outros alunos",Muitas vezes,Não fui vítima de bullying/agressões nos últimos 12 meses,Não conheço/Nunca participei de nenhuma,Sempre,Sempre,Nunca,Às vezes,Nunca,Nunca,Nunca,Sempre,Nunca,Nunca,Nunca,Sempre,Nunca,Às vezes,Sempre,Sempre,Nunca,Nunca,Nunca,Nunca,8,1,4,NÃO
X011,Mulher,6ºA,"História, Arte","Português, Ciências",ser uma medica,Normal,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, Seus amigos, Os jogos, esportes ou eventos da escola",Poucas vezes,Não fui vítima de bullying/agressões nos últimos 12 meses,Não conheço/Nunca participei de nenhuma,Nunca,Nunca,Sempre,Sempre,Às vezes,Às vezes,Nunca,Nunca,Nunca,Sempre,Às vezes,Às vezes,Sempre,Às vezes,Nunca,Nunca,Sempre,Sempre,Sempre,Às vezes,5,3,4,nada
X012,Homem,6ºA,"Português, História","Educação Física, Projeto de Vida",ser jogador de futbol,Normal,"Doença (gripe, virose, entre outros), Problemas de transporte (ônibus atrasado, trânsito, etc)","Seus amigos, Como os professores ouvem você e os outros alunos, A segurança da escola","Nem muito, nem pouco",Não fui vítima de bullying/agressões nos últimos 12 meses,Não conheço/Nunca participei de nenhuma,Às vezes,Às vezes,Às vezes,Nunca,Sempre,Nunca,Às vezes,Nunca,Nunca,Nunca,Às vezes,Às vezes,Às vezes,Às vezes,Nunca,Nunca,Às vezes,Nunca,Nunca,Às vezes,0,5,4,nao
X013,Homem,8ºB,"História, Geografia",Matemática,Ter muito dinheiro para comprar uma casa grande ,Pouco capaz,"Cuidar de familiares (avós, irmãos), Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, A forma como a direção ou coordenação te tratam",Poucas vezes,Não fui vítima de bullying/agressões nos últimos 12 meses,"ETEC, Olimpíadas (OBMEP, OBA, OMN, Canguru de Matemática)",Nunca,Às vezes,Às vezes,Às vezes,Às vezes,Nunca,Nunca,Nunca,Às vezes,Nunca,Nunca,Nunca,Sempre,Às vezes,Nunca,Às vezes,Às vezes,Sempre,Às vezes,Às vezes,4,8,4,Não obrigado minha esperiemsa foi ótima 
X014,Mulher,6ºA,"História, Projeto de Vida","Português, Geografia",ir para paris,Muito capaz,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","Seus amigos, Como os professores ouvem você e os outros alunos, A segurança da escola",Poucas vezes,Não fui vítima de bullying/agressões nos últimos 12 meses,"Olimpíadas (OBMEP, OBA, OMN, Canguru de Matemática)",Nunca,Às vezes,Nunca,Nunca,Às vezes,Às vezes,Às vezes,Nunca,Às vezes,Às vezes,Às vezes,Sempre,Às vezes,Às vezes,Nunca,Nunca,Sempre,Às vezes,Às vezes,Sempre,1,4,4,
X015,Mulher,6ºA,"Geografia, Projeto de Vida","Português, História",ser medica,Muito capaz,"Doença (gripe, virose, entre outros), Problemas de transporte (ônibus atrasado, trânsito, etc)","Seus amigos, Os jogos, esportes ou eventos da escola, Como os professores ouvem você e os outros alunos","Nem muito, nem pouco","Nem muito, nem pouco","Olimpíadas (OBMEP, OBA, OMN, Canguru de Matemática)",Nunca,Às vezes,Às vezes,Nunca,Às vezes,Às vezes,Nunca,Nunca,Às vezes,Às vezes,Às vezes,Sempre,Sempre,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,0,6,4,meus amigos e os professores
X016,Homem,6ºA,"Matemática, História","Português, Ciências",ser jogador de futebol,Normal,"Cuidar de familiares (avós, irmãos), Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, Seus amigos, Os jogos, esportes ou eventos da escola",Não penso em abandonar a escola,"Nem muito, nem pouco",Não conheço/Nunca participei de nenhuma,Nunca,Nunca,Nunca,Nunca,Às vezes,Nunca,Sempre,Às vezes,Nunca,Nunca,Nunca,Às vezes,Às vezes,Às vezes,Nunca,Nunca,Às vezes,Nunca,Sempre,Sempre,3,6,4,
X017,Mulher,6ºA,"Português, Matemática","Geografia, Educação Física",ser confeitera,Muito capaz,"Chuva ou tempo ruim, Cuidar de familiares (avós, irmãos)","A forma como a direção ou coordenação te tratam, Seus amigos, Os jogos, esportes ou eventos da escola","Nem muito, nem pouco",Não fui vítima de bullying/agressões nos últimos 12 meses,ETEC,Nunca,Nunca,Nunca,Nunca,Às vezes,Às vezes,Às vezes,Nunca,Às vezes,Às vezes,Às vezes,Sempre,Às vezes,Sempre,Às vezes,Às vezes,Sempre,Sempre,Às vezes,Sempre,9,7,4,a escola e muito legal
X018,Mulher,6ºA,"Matemática, História","Português, Geografia",ter uma boa vida finaçeira,Não me vejo alcançando esse sonho,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, A forma como a direção ou coordenação te tratam, Seus amigos",Muitas vezes,Poucas vezes,Não conheço/Nunca participei de nenhuma,Às vezes,Sempre,Às vezes,Às vezes,Às vezes,Nunca,Às vezes,Nunca,Nunca,Às vezes,Às vezes,Sempre,Às vezes,Às vezes,Sempre,Às vezes,Às vezes,Nunca,Sempre,Às vezes,2,1,4,nao
X019,Homem,6ºA,"História, Arte","Português, Educação Física",Ser um jogador de futebol,Muito capaz,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, Os jogos, esportes ou eventos da escola, A segurança da escola",Poucas vezes,Não fui vítima de bullying/agressões nos últimos 12 meses,Não conheço/Nunca participei de nenhuma,Às vezes,Às vezes,Às vezes,Sempre,Às vezes,Nunca,Às vezes,Sempre,Nunca,Às vezes,Nunca,Às vezes,Sempre,Sempre,Às vezes,Às vezes,Às vezes,Nunca,Sempre,Sempre,2,2,3,
X020,Mulher,6ºA,"Matemática, História","Português, Educação Física",ser cantora,Muito capaz,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","Seus amigos, Os jogos, esportes ou eventos da escola, A segurança da escola",Não penso em abandonar a escola,Não fui vítima de bullying/agressões nos últimos 12 meses,Não conheço/Nunca participei de nenhuma,Nunca,Nunca,Às vezes,Nunca,Às vezes,Às vezes,Nunca,Às vezes,Nunca,Às vezes,Às vezes,Às vezes,Sempre,Sempre,Nunca,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,2,10,4,Nao 
X021,Mulher,6ºA,"História, Geografia","Português, Educação Física",ser médica,Normal,"Doença (gripe, virose, entre outros), Problemas de transporte (ônibus atrasado, trânsito, etc)","A forma como os professores explicam a matéria, Seus amigos, Os jogos, esportes ou eventos da escola",Poucas vezes,Não fui vítima de bullying/agressões nos últimos 12 meses,"Olimpíadas (OBMEP, OBA, OMN, Canguru de Matemática)",Nunca,Nunca,Nunca,Às vezes,Às vezes,Nunca,Às vezes,Nunca,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Sempre,Nunca,Nunca,Às vezes,Sempre,Às vezes,Às vezes,9,3,3,não
X022,Mulher,6ºA,"Arte, Educação Física","Português, Projeto de Vida",Meu sonho maior sonho é ser psicologa quando eu crecer ,Normal,"Doença (gripe, virose, entre outros), Problemas de transporte (ônibus atrasado, trânsito, etc)","Seus amigos, Os jogos, esportes ou eventos da escola, Como os professores ouvem você e os outros alunos",Não penso em abandonar a escola,Poucas vezes,Não conheço/Nunca participei de nenhuma,Nunca,Nunca,Nunca,Nunca,Às vezes,Nunca,Nunca,Às vezes,Nunca,Às vezes,Nunca,Sempre,Às vezes,Sempre,Às vezes,Sempre,Sempre,Às vezes,Às vezes,Sempre,5,5,4,Nao 
X023,Homem,6ºA,"Ciências, História","Matemática, Educação Física",nao tenho,Muito capaz,"Cuidar de familiares (avós, irmãos), Doença (gripe, virose, entre outros)","Seus amigos, Os jogos, esportes ou eventos da escola, A segurança da escola",Muitas vezes,Poucas vezes,Não conheço/Nunca participei de nenhuma,Às vezes,Nunca,Às vezes,Nunca,Às vezes,Às vezes,Nunca,Às vezes,Às vezes,Às vezes,Nunca,Às vezes,Sempre,Sempre,Às vezes,Às vezes,Sempre,Nunca,Às vezes,Às vezes,10,1,4,
X024,Mulher,8ºB,"Matemática, História","Português, Arte",ser pediatra,Pouco capaz,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, A forma como os professores explicam a matéria, Seus amigos",Não penso em abandonar a escola,Não fui vítima de bullying/agressões nos últimos 12 meses,"Olimpíadas (OBMEP, OBA, OMN, Canguru de Matemática), SENAI",Nunca,Nunca,Às vezes,Às vezes,Nunca,Nunca,Nunca,Nunca,Sempre,Às vezes,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Às vezes,Sempre,Sempre,5,6,4,"acho que não
"
X025,Homem,8ºB,"Matemática, Arte","Português, Educação Física",jornalismo esportivo,Normal,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como a direção ou coordenação te tratam, Seus amigos, Os jogos, esportes ou eventos da escola",Muitas vezes,Não fui vítima de bullying/agressões nos últimos 12 meses,JEESP (Jogos Escolares do Estado de São Paulo),Sempre,Às vezes,Nunca,Nunca,Às vezes,Sempre,Nunca,Às vezes,Nunca,Sempre,Sempre,Sempre,Às vezes,Nunca,Às vezes,Às vezes,Sempre,Nunca,Sempre,Sempre,2,3,2,NAOOO
X026,Homem,6ºA,"Ciências, Geografia","Matemática, Educação Física",ser jogador de futebol,Muito capaz,"Doença (gripe, virose, entre outros)","Seus amigos, Os jogos, esportes ou eventos da escola",Poucas vezes,Não fui vítima de bullying/agressões nos últimos 12 meses,Não conheço/Nunca participei de nenhuma,Sempre,Nunca,Nunca,Nunca,Sempre,Sempre,Sempre,Às vezes,Sempre,Às vezes,Nunca,Às vezes,Às vezes,Sempre,Sempre,Nunca,Às vezes,Nunca,Às vezes,Às vezes,10,0,4,"criar um campeonato de futsal,e melhorar a arbitragem"
X027,Mulher,8ºB,"Matemática, História","Educação Física, Inglês",trabalha de nail designer,Normal,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, Seus amigos",Muitas vezes,Poucas vezes,Não conheço/Nunca participei de nenhuma,Sempre,Às vezes,Nunca,Nunca,Às vezes,Nunca,Às vezes,Às vezes,Nunca,Às vezes,Nunca,Sempre,Nunca,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Sempre,Sempre,2,2,1,
X028,Mulher,8ºB,Matemática,"Ciências, História",Meu objetivo é fazer jovem aprendiz  e o meu sonho é ter um emprego bom e também fazer  curso de gastronomia.,Pouco capaz,"Doença (gripe, virose, entre outros)","A forma como os professores explicam a matéria, Seus amigos, Como os professores ouvem você e os outros alunos",Não penso em abandonar a escola,Não fui vítima de bullying/agressões nos últimos 12 meses,Não conheço/Nunca participei de nenhuma,Nunca,Às vezes,Às vezes,Nunca,Nunca,Às vezes,Nunca,Às vezes,Nunca,Sempre,Às vezes,Sempre,Sempre,Às vezes,Nunca,Às vezes,Às vezes,Às vezes,Sempre,Às vezes,7,1,3,"Não tenho mas nada a dizer,sobre e referente a escola."
X029,Mulher,6ºA,"Matemática, Ciências","Português, Arte",niun,Normal,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, A forma como a direção ou coordenação te tratam, A forma como os professores explicam a matéria",Muitas vezes,Poucas vezes,Não conheço/Nunca participei de nenhuma,Nunca,Sempre,Sempre,Nunca,Sempre,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Sempre,Sempre,Sempre,Nunca,Sempre,Sempre,Nunca,Nunca,1,6,4,nada
X030,Mulher,8ºB,Não tenho,Inglês,Ser Veterinária,Muito capaz,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, A forma como os professores explicam a matéria, Seus amigos",Poucas vezes,Não fui vítima de bullying/agressões nos últimos 12 meses,Não conheço/Nunca participei de nenhuma,Nunca,Nunca,Às vezes,Nunca,Nunca,Sempre,Nunca,Nunca,Às vezes,Às vezes,Às vezes,Sempre,Às vezes,Às vezes,Sempre,Nunca,Às vezes,Nunca,Sempre,Sempre,9,1,4,"A escola não, Mas a classe precisa melhora, tem coisas que acontecem que nem eu como vice-presidente de sala e os professores pode fazer algo a respeito pois não estas em nossos alcances. "
X031,Homem,8ºB,"Matemática, História","Português, Educação Física",meu maior sonho e ser muito bom em matemática  e que na escola tenha mais e ventos,Pouco capaz,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","Seus amigos, Os jogos, esportes ou eventos da escola, Como os professores ouvem você e os outros alunos",Muitas vezes,Não fui vítima de bullying/agressões nos últimos 12 meses,JEESP (Jogos Escolares do Estado de São Paulo),Nunca,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Sempre,Nunca,Às vezes,Sempre,Sempre,Às vezes,Às vezes,Nunca,Sempre,Sempre,Às vezes,Às vezes,10,7,4,"a escola e muito legal mais eu sinto falta de comidas diferentes
"
X032,Homem,6ºA,"Português, Arte","Matemática, Educação Física",BOMBERO,Normal,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, A forma como a direção ou coordenação te tratam, Seus amigos",Não penso em abandonar a escola,Não fui vítima de bullying/agressões nos últimos 12 meses,Não conheço/Nunca participei de nenhuma,Nunca,Nunca,Nunca,Nunca,Nunca,Às vezes,Às vezes,Nunca,Nunca,Sempre,Às vezes,Às vezes,Sempre,Nunca,Nunca,Nunca,Sempre,Nunca,Sempre,Sempre,6,4,4,NADA
X033,Homem,8ºA,"Matemática, História","Arte, Educação Física",Se tornar um jogador de futebol e entrar pra historia do esporte,Pouco capaz,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, Seus amigos, Os jogos, esportes ou eventos da escola","Nem muito, nem pouco",Poucas vezes,"Olimpíadas (OBMEP, OBA, OMN, Canguru de Matemática), JEESP (Jogos Escolares do Estado de São Paulo)",Às vezes,Nunca,Às vezes,Sempre,Às vezes,Nunca,Às vezes,Sempre,Nunca,Às vezes,Às vezes,Sempre,Sempre,Sempre,Às vezes,Sempre,Sempre,Às vezes,Às vezes,Às vezes,0,9,3,
X034,Homem,9ºA,"Matemática, Ciências","Português, Geografia",ser jogador de futsal,Muito capaz,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, Seus amigos",Poucas vezes,Não fui vítima de bullying/agressões nos últimos 12 meses,"Olimpíadas (OBMEP, OBA, OMN, Canguru de Matemática)",Sempre,Às vezes,Às vezes,Às vezes,Nunca,Nunca,Sempre,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Sempre,Às vezes,Às vezes,Sempre,Às vezes,Sempre,Às vezes,0,3,4,nada
X035,Homem,8ºB,"Matemática, História","Ciências, Geografia",ser o melhor jogador de free fire,Normal,Chuva ou tempo ruim,"A forma como algum professor ou funcionário da escola te trata, Seus amigos, Os jogos, esportes ou eventos da escola",Muitas vezes,Muitas vezes,Não conheço/Nunca participei de nenhuma,Às vezes,Às vezes,Às vezes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Às vezes,Nunca,Nunca,Nunca,Às vezes,Às vezes,Nunca,Nunca,Às vezes,Nunca,Sempre,10,9,4,minha escola e muito boa eles esplica tudo certo  ajuda os alunos se tem muitos problemas eles ajuda você em qualque coisa que tiver duvida
X036,Mulher,9ºA,"Português, Matemática","Arte, Educação Física",Ser advogada ,Normal,"Cuidar de familiares (avós, irmãos), Doença (gripe, virose, entre outros)","Seus amigos, A segurança da escola",Muitas vezes,Não fui vítima de bullying/agressões nos últimos 12 meses,Não conheço/Nunca participei de nenhuma,Sempre,Sempre,Às vezes,Às vezes,Sempre,Nunca,Nunca,Às vezes,Às vezes,Às vezes,Às vezes,Sempre,Às vezes,Sempre,Sempre,Nunca,Sempre,Às vezes,Sempre,Às vezes,1,6,4,não 
X037, Gay,8ºB,"Matemática, Arte","História, Geografia",Ser medico verterinario,Muito capaz,"Cuidar de familiares (avós, irmãos), Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, A forma como os professores explicam a matéria",Poucas vezes,Muitas vezes,"Projeto de Pesquisa, Não conheço/Nunca participei de nenhuma",Nunca,Nunca,Nunca,Nunca,Às vezes,Sempre,Às vezes,Às vezes,Às vezes,Sempre,Nunca,Sempre,Às vezes,Sempre,Às vezes,Às vezes,Sempre,Às vezes,Às vezes,Sempre,7,9,4,"sim a minha sala nao respeita os professores so eu e minha amiga, fico com vontade de surmir da minha sala e imsoportavel"
X038,Homem,9ºA,Matemática,Educação Física,ser jogador,Muito capaz,"Doença (gripe, virose, entre outros)",Seus amigos,Muitas vezes,Muitas vezes,Não conheço/Nunca participei de nenhuma,Às vezes,Sempre,Às vezes,Às vezes,Às vezes,Nunca,Às vezes,Nunca,Nunca,Sempre,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Sempre,Às vezes,Às vezes,8,1,3,nao
X039,Homem,9ºA,"Matemática, História","Geografia, Educação Física",Ficar rico e trabalhar fazendo vendas online,Normal,"Cuidar de familiares (avós, irmãos), Problemas de transporte (ônibus atrasado, trânsito, etc)","A forma como os professores explicam a matéria, Seus amigos, Os jogos, esportes ou eventos da escola",Não penso em abandonar a escola,Não fui vítima de bullying/agressões nos últimos 12 meses,Não conheço/Nunca participei de nenhuma,Nunca,Nunca,Nunca,Nunca,Nunca,Às vezes,Às vezes,Nunca,Às vezes,Às vezes,Às vezes,Sempre,Nunca,Às vezes,Às vezes,Nunca,Às vezes,Às vezes,Às vezes,Às vezes,1,4,4,Sobre mim eu estou com muitos problemas em casa
X040,Mulher,8ºB,"Matemática, Geografia","Português, Arte","Conquistar o futuro que desejo, proporcionando assim um futuro melhor para minha família.
Então para isso eu terei diversos obstaculos, e para conseguir passa-los eu preciso de muitas coisas, mas o principal é estudar e quero fazer intercâmbio fora, e acho que neste momento esse é o meu maior sonho.",Muito capaz,"Chuva ou tempo ruim, Cuidar de familiares (avós, irmãos)","A forma como algum professor ou funcionário da escola te trata, Seus amigos",Muitas vezes,Muitas vezes,"ETEC, JEESP (Jogos Escolares do Estado de São Paulo)",Nunca,Às vezes,Às vezes,Sempre,Nunca,Às vezes,Às vezes,Sempre,Sempre,Às vezes,Às vezes,Sempre,Às vezes,Sempre,Sempre,Sempre,Às vezes,Às vezes,Às vezes,Sempre,4,4,4,"Acho muito cansativo passar nove horas em um ambiente escolar, além de ter muitos problemas fora da escola, tenho dentro também.
    Porém, eu acho que necessito estudar o tanto que estudo, talvez até mais."
X041,Homem,9ºA,"História, Geografia","Matemática, Educação Física",T.I Progamação,Muito capaz,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, A forma como a direção ou coordenação te tratam, Seus amigos","Nem muito, nem pouco",Não fui vítima de bullying/agressões nos últimos 12 meses,JEESP (Jogos Escolares do Estado de São Paulo),Às vezes,Às vezes,Nunca,Às vezes,Nunca,Às vezes,Nunca,Sempre,Nunca,Às vezes,Às vezes,Sempre,Sempre,Nunca,Nunca,Às vezes,Sempre,Sempre,Sempre,Às vezes,8,5,4,"Essa escola, só uma coisa que eu queria melhorar nessa escola era horário"
X042,Mulher,9ºA,"Matemática, Geografia","Educação Física, Projeto de Vida",Ter minha casa própria,Muito capaz,"Chuva ou tempo ruim, Doença (gripe, virose, entre outros)","A forma como algum professor ou funcionário da escola te trata, A forma como os professores explicam a matéria, Seus amigos",Poucas vezes,Poucas vezes,"ETEC, SENAI",Nunca,Às vezes,Nunca,Às vezes,Às vezes,Nunca,Às vezes,Nunca,Nunca,Às vezes,Nunca,Sempre,Às vezes,Sempre,Nunca,Sempre,Às vezes,Sempre,Sempre,Às vezes,3,2,4,Acho que nada 
